path,git_status,category,size_bytes,tracked,likely_artifact,likely_source,recommendation_candidate,decision
apps/api/alembic/versions/q1r2s3t4u5v6_bt2_shadow_monitoring_tables.py,A,committed_shadow_runtime_kept,7726,true,false,true,keep_existing_branch_runtime_surface,keep
apps/api/alembic/versions/r7s8t9u0v1w2_bt2_shadow_pick_eval_performance_fields.py,A,committed_shadow_runtime_kept,1664,true,false,true,keep_existing_branch_runtime_surface,keep
apps/api/alembic/versions/s1t2u3v4w5x6_bt2_shadow_dsr_replay_lane.py,A,committed_shadow_runtime_kept,2819,true,false,true,keep_existing_branch_runtime_surface,keep
apps/api/bt2_dsr_context_queries.py,M,committed_shadow_runtime_kept,20034,true,false,true,keep_existing_branch_runtime_surface,keep
apps/api/bt2_dsr_deepseek.py,M,committed_shadow_runtime_kept,12458,true,false,true,keep_existing_branch_runtime_surface,keep
apps/api/bt2_dsr_shadow_native_adapter.py,A,committed_shadow_runtime_kept,7745,true,false,true,keep_existing_branch_runtime_surface,keep
apps/api/bt2_dsr_shadow_native_deepseek_v6.py,A,committed_shadow_runtime_kept,8248,true,false,true,keep_existing_branch_runtime_surface,keep
apps/api/bt2_dsr_shadow_native_enrichment.py,A,committed_shadow_runtime_kept,9500,true,false,true,keep_existing_branch_runtime_surface,keep
apps/api/bt2_dsr_shadow_native_prompt_selective_ft1x2.py,??,untracked_experimental_api_stub,4438,false,false,true,delete_after_consolidation,delete
apps/api/bt2_dsr_shadow_native_prompt_v6.py,A,committed_shadow_runtime_kept,5617,true,false,true,keep_existing_branch_runtime_surface,keep
apps/api/bt2_dsr_shadow_native_selective_ft1x2.py,??,untracked_experimental_api_stub,3849,false,false,true,delete_after_consolidation,delete
apps/api/bt2_dsr_shadow_selective_contract.py,??,untracked_experimental_api_stub,9805,false,false,true,delete_after_consolidation,delete
apps/api/bt2_models.py,M,committed_shadow_runtime_kept,36395,true,false,true,keep_existing_branch_runtime_surface,keep
apps/api/bt2_router.py,M,committed_shadow_runtime_kept,183037,true,false,true,keep_existing_branch_runtime_surface,keep
apps/api/bt2_schemas.py,M,committed_shadow_runtime_kept,48602,true,false,true,keep_existing_branch_runtime_surface,keep
apps/api/bt2_shadow_monitor.py,A,committed_shadow_runtime_kept,28632,true,false,true,keep_existing_branch_runtime_surface,keep
apps/web/src/lib/api.ts,M,committed_shadow_ui_kept,24982,true,false,true,keep_existing_branch_runtime_surface,keep
apps/web/src/lib/bt2Types.ts,M,committed_shadow_ui_kept,24511,true,false,true,keep_existing_branch_runtime_surface,keep
apps/web/src/pages/MonitorResultadosPage.tsx,M,committed_shadow_ui_kept,70656,true,false,true,keep_existing_branch_runtime_surface,keep
docs/bettracker2/MM3_DATA_SCIENCE_FEASIBILITY_STARTER.md,??,mm3_doc_consolidated_elsewhere,1331,false,false,false,delete_after_consolidation,delete
docs/bettracker2/audits/,??,audit_doc_consolidated,330716,false,true,false,delete_after_consolidation,delete
docs/bettracker2/decisions/,??,decision_doc_consolidated,12877,false,true,false,delete_after_consolidation,delete
docs/bettracker2/design/,??,design_doc_consolidated,46098,false,true,false,delete_after_consolidation,delete
docs/bettracker2/fase4/,??,phase_doc_consolidated,37669,false,true,false,delete_after_consolidation,delete
docs/bettracker2/lab/,??,other,137353,false,false,false,keep_no_action,keep
prompts/,??,prompt_experiment,42525,false,true,false,delete_after_consolidation,delete
scripts/bt2_blind_scrubbed_ab_market_context.py,??,retained_lab_script,20261,false,false,true,keep_as_lab_reference,keep
scripts/bt2_blind_scrubbed_replay.py,??,retained_lab_script,37911,false,false,true,keep_as_lab_reference,keep
scripts/bt2_live_field_audit.py,??,retained_lab_script,45214,false,false,true,keep_as_lab_reference,keep
scripts/bt2_phase4a_shadow_signal_diagnosis.py,A,retained_lab_script,25660,true,false,true,keep_as_lab_reference,keep
scripts/bt2_phase4b_execute.py,A,redundant_lab_script,12001,true,false,true,delete_after_consolidation,delete
scripts/bt2_shadow_backfill_2026_ytd.py,A,redundant_lab_script,9387,true,false,true,delete_after_consolidation,delete
scripts/bt2_shadow_backfill_subset5.py,A,redundant_lab_script,28979,true,false,true,delete_after_consolidation,delete
