sport_key,snapshot_time,region,market,endpoint_strategy,credits_per_fixture_est,n_fixtures_in_bucket,estimated_credits_event_odds,notes
soccer_belgium_first_div,2025-01-25T18:45:00+00:00,us,h2h,historical_event_odds_TOA_v4,10,1,10,Basado en doc TOA: 10 × mercados × regiones por request de odds histórico por evento; h2h+us=10
soccer_belgium_first_div,2025-02-01T18:45:00+00:00,us,h2h,historical_event_odds_TOA_v4,10,1,10,Basado en doc TOA: 10 × mercados × regiones por request de odds histórico por evento; h2h+us=10
soccer_efl_champ,2025-01-25T14:00:00+00:00,us,h2h,historical_event_odds_TOA_v4,10,1,10,Basado en doc TOA: 10 × mercados × regiones por request de odds histórico por evento; h2h+us=10
soccer_epl,2025-01-14T18:30:00+00:00,us,h2h,historical_event_odds_TOA_v4,10,3,30,Basado en doc TOA: 10 × mercados × regiones por request de odds histórico por evento; h2h+us=10
soccer_epl,2025-01-14T19:00:00+00:00,us,h2h,historical_event_odds_TOA_v4,10,1,10,Basado en doc TOA: 10 × mercados × regiones por request de odds histórico por evento; h2h+us=10
soccer_epl,2025-01-15T18:30:00+00:00,us,h2h,historical_event_odds_TOA_v4,10,3,30,Basado en doc TOA: 10 × mercados × regiones por request de odds histórico por evento; h2h+us=10
soccer_epl,2025-01-15T19:00:00+00:00,us,h2h,historical_event_odds_TOA_v4,10,1,10,Basado en doc TOA: 10 × mercados × regiones por request de odds histórico por evento; h2h+us=10
soccer_epl,2025-01-16T18:30:00+00:00,us,h2h,historical_event_odds_TOA_v4,10,1,10,Basado en doc TOA: 10 × mercados × regiones por request de odds histórico por evento; h2h+us=10
soccer_epl,2025-01-16T19:00:00+00:00,us,h2h,historical_event_odds_TOA_v4,10,1,10,Basado en doc TOA: 10 × mercados × regiones por request de odds histórico por evento; h2h+us=10
soccer_epl,2025-02-01T11:30:00+00:00,us,h2h,historical_event_odds_TOA_v4,10,1,10,Basado en doc TOA: 10 × mercados × regiones por request de odds histórico por evento; h2h+us=10
soccer_epl,2025-02-01T14:00:00+00:00,us,h2h,historical_event_odds_TOA_v4,10,4,40,Basado en doc TOA: 10 × mercados × regiones por request de odds histórico por evento; h2h+us=10
soccer_epl,2025-02-02T13:00:00+00:00,us,h2h,historical_event_odds_TOA_v4,10,2,20,Basado en doc TOA: 10 × mercados × regiones por request de odds histórico por evento; h2h+us=10
soccer_epl,2025-02-02T15:30:00+00:00,us,h2h,historical_event_odds_TOA_v4,10,1,10,Basado en doc TOA: 10 × mercados × regiones por request de odds histórico por evento; h2h+us=10
soccer_epl,2025-02-03T19:00:00+00:00,us,h2h,historical_event_odds_TOA_v4,10,1,10,Basado en doc TOA: 10 × mercados × regiones por request de odds histórico por evento; h2h+us=10
soccer_epl,2025-02-12T18:30:00+00:00,us,h2h,historical_event_odds_TOA_v4,10,1,10,Basado en doc TOA: 10 × mercados × regiones por request de odds histórico por evento; h2h+us=10
soccer_epl,2025-02-16T13:00:00+00:00,us,h2h,historical_event_odds_TOA_v4,10,1,10,Basado en doc TOA: 10 × mercados × regiones por request de odds histórico por evento; h2h+us=10
soccer_fa_cup,2025-01-10T19:00:00+00:00,us,h2h,historical_event_odds_TOA_v4,10,1,10,Basado en doc TOA: 10 × mercados × regiones por request de odds histórico por evento; h2h+us=10
soccer_fa_cup,2025-01-11T11:00:00+00:00,us,h2h,historical_event_odds_TOA_v4,10,1,10,Basado en doc TOA: 10 × mercados × regiones por request de odds histórico por evento; h2h+us=10
soccer_fa_cup,2025-01-11T11:15:00+00:00,us,h2h,historical_event_odds_TOA_v4,10,1,10,Basado en doc TOA: 10 × mercados × regiones por request de odds histórico por evento; h2h+us=10
soccer_fa_cup,2025-01-11T14:00:00+00:00,us,h2h,historical_event_odds_TOA_v4,10,4,40,Basado en doc TOA: 10 × mercados × regiones por request de odds histórico por evento; h2h+us=10
soccer_fa_cup,2025-01-11T16:45:00+00:00,us,h2h,historical_event_odds_TOA_v4,10,1,10,Basado en doc TOA: 10 × mercados × regiones por request de odds histórico por evento; h2h+us=10
soccer_fa_cup,2025-01-12T11:30:00+00:00,us,h2h,historical_event_odds_TOA_v4,10,1,10,Basado en doc TOA: 10 × mercados × regiones por request de odds histórico por evento; h2h+us=10
soccer_fa_cup,2025-01-12T14:00:00+00:00,us,h2h,historical_event_odds_TOA_v4,10,1,10,Basado en doc TOA: 10 × mercados × regiones por request de odds histórico por evento; h2h+us=10
soccer_fa_cup,2025-01-12T15:30:00+00:00,us,h2h,historical_event_odds_TOA_v4,10,1,10,Basado en doc TOA: 10 × mercados × regiones por request de odds histórico por evento; h2h+us=10
soccer_fa_cup,2025-02-10T18:45:00+00:00,us,h2h,historical_event_odds_TOA_v4,10,1,10,Basado en doc TOA: 10 × mercados × regiones por request de odds histórico por evento; h2h+us=10
soccer_fa_cup,2025-02-11T19:00:00+00:00,us,h2h,historical_event_odds_TOA_v4,10,1,10,Basado en doc TOA: 10 × mercados × regiones por request de odds histórico por evento; h2h+us=10
soccer_france_coupe_de_france,2025-01-22T15:00:00+00:00,us,h2h,historical_event_odds_TOA_v4,10,1,10,Basado en doc TOA: 10 × mercados × regiones por request de odds histórico por evento; h2h+us=10
soccer_france_ligue_one,2025-02-15T15:00:00+00:00,us,h2h,historical_event_odds_TOA_v4,10,1,10,Basado en doc TOA: 10 × mercados × regiones por request de odds histórico por evento; h2h+us=10
